iter	Passed	Remaining
594	9971	6597	595	9988	6598	596	10000	599	9597	10014600	97598	1002601	975599	100602	9772600	10603	9788	601	1604	9805	6602	605	9818	63603606	9835	63660607	9846	63486608	9862	6331
609	9880	6317
610	9897	6301
611	9918	6287
612	9933	6271
613	610	10243	614	9611	10266615	99612	1028616	999613	103617	1001614	103618	1003615	103619	1004616	103620	1007617	103621	1009618	103622	1011619	104623	10127	6102
624	10141	6084
625	1015622	104626	10173	6051
627	10192	6037
628	10208	6021
629	10228	6006
630	1023627	105631	10255	5971
632	10270	5954
633	1027630	105634	1029631	106635	1031632	106636	1033633	106637	10352	5873
638	1036635	106639	10390	5844
640	10403	5826
641	1041638	107642	1043639	107643	1044640	107644	1046641	107645	1047642	107646	1049643	10815	5978
644	10829	5960
645	10845	5943
646	108650	1055647	108651	1057648	108652	1058649	109653	1060650	109654	1062651	109655	1064652	109656	1066653	109657	1067654	109658	1068655	11010	5773
656	11026	5756
657	11043	5739
658	11059	5722
659	11076	5705
660	11090	5687
661	11102	5668
662	11121	5653
663	11134	5634
664	11150	5617
665	11162	5598
666	111670	1086667	111671	1088668	112672	1090669	11230	5531
670	11241	5511
671	11255	5493
672	11277	5479
673	11297	5464
674	11315	5447
675	11329	5430
676	11344	5412
677	11359	5394
678	11373	5376
679	11391	5360
680	114684	1109681	114685	1110682	11437	5308
683	114687	1113684	11480	5279
685	11505	5266
686	11528	5252
687	11545	5235
688	11561	5218
689	11584	5204
690	11603	5188
691	11621	5172
692	11638	5155
693	11656	5139
694	11669	5120
695	11681	5102
696	11697	5085
697	11715	5068
698	11729	5050
699	11744	5033
700	11765	5018
701	11782	5001
702	11799	4984
703	11817	4968
704	11835	4952
705	11851	4935
706	11872	4920
707	11890	4903
708	11906	4886
709	11927	4871
710	11937	4852
711	11952	4834
712	11976	4820
713	11996	4805
714	12014	4788
715	12028	4771
716	12044	4753
717	12060	4736
718	12075	4719
719	12103	4706
720	12122	4690
721	12134	4672
722	12154	4656
723	12170	4639
724	12189	4623
725	12210	4608
726	12224	4590
727	12244	4574
728	12258	4557
729	12273	4539
730	12293	4523
731	12309	4506
732	12324	4489
733	12342	4472
734	12358	4455
735	12373	4438
736	12389	4421
737	12407	4404
738	12426	4388
739	12440	4370
740	12452	4352
741	12465	4334
742	12483	4318
743	12498	4300
744	12510	4282
745	12523	4263
746	12536	4245
747	12548	4227
748	12563	4210
749	12580	4193
750	12598	4177
751	12614	4160
752	12634	4144
753	12650	4127
754	12666	4110
755	12681	4092
756	12702	4077
757	12726	4063
758	12749	4048
759	12764	4030
760	12785	4015
761	12799	3997
762	12817	3981
763	12838	3965
764	12856	3949
765	12871	3932
766	12884	3914
767	12901	3897
768	12920	3881
769	12935	3863
770	12954	3847
771	12969	3830
772	12986	3813
773	12999	3795
774	13018	3779
775	13028	3760
776	13044	3743
777	13060	3726
778	13077	3709
779	13093	3693
780	13104	3674
781	13127	3659
782	13141	3642
783	13158	3625
784	13175	3608
785	13188	3590
786	13208	3574
787	13226	3558
788	13244	3541
789	13259	3524
790	13275	3507
791	13288	3490
792	13304	3473
793	13323	3456
794	13336	3439
795	13349	3421
796	13364	3403
797	13381	3387
798	13398	3370
799	13415	3353
800	13433	3337
801	13451	3320
802	13463	3303
803	13481	3286
804	13497	3269
805	13519	3253
806	13541	3238
807	13556	3221
808	13572	3204
809	13590	3187
810	13606	3170
811	13624	3154
812	13637	3136
813	13656	3120
814	13676	3104
815	13692	3087
816	13709	3070
817	13724	3053
818	13740	3036
819	13759	3020
820	13777	3003
821	13794	2987
822	13816	2971
823	13832	2954
824	13846	2937
825	13863	2920
826	13880	2903
827	13896	2886
828	13908	2868
829	13921	2851
830	13936	2834
831	13945	2815
832	13960	2798
833	13976	2781
834	13996	2765
835	14005	2747
836	14017	2729
837	14025	2711
838	14033	2692
839	14041	2674
840	14049	2656
841	14057	2637
842	14063	2619
843	14074	2601
844	14084	2583
845	14093	2565
846	14100	2547
847	14107	2528
848	14113	2510
849	14123	2492
850	14135	2474
851	14144	2457
852	14152	2438
853	14160	2420
854	14169	2402
855	14175	2384
856	14182	2366
857	14189	2348
858	14196	2330
859	14203	2312
860	14210	2294
861	14217	2276
862	14225	2258
863	14232	2240
864	14239	2222
865	14245	2204
866	14251	2186
867	14259	2168
868	14266	2150
869	14275	2133
870	14282	2115
871	14291	2097
872	14300	2080
873	14308	2062
874	14317	2045
875	14324	2027
876	14331	2010
877	14342	1992
878	14351	1975
879	14359	1958
880	14367	1940
881	14375	1923
882	14384	1905
883	14391	1888
884	14400	1871
885	14410	1854
886	14418	1836
887	14426	1819
888	14435	1802
889	14443	1785
890	14449	1767
891	14457	1750
892	14465	1733
893	14475	1716
894	14483	1699
895	14494	1682
896	14503	1665
897	14512	1648
898	14519	1631
899	14526	1614
900	14532	1596
901	14542	1579
902	14550	1562
903	14558	1546
904	14566	1529
905	14575	1512
906	14582	1495
907	14589	1478
908	14598	1461
909	14610	1444
910	14622	1428
911	14629	1411
912	14635	1394
913	14645	1377
914	14653	1361
915	14661	1344
916	14669	1327
917	14677	1311
918	14687	1294
919	14697	1278
920	14707	1261
921	14716	1244
922	14723	1228
923	14730	1211
924	14739	1195
925	14748	1178
926	14756	1162
927	14764	1145
928	14772	1129
929	14779	1112
930	14787	1095
931	14795	1079
932	14804	1063
933	14813	1046
934	14822	1030
935	14830	1014
936	14838	997
937	14846	981
938	14854	965
939	14863	948
940	14872	932
941	14882	916
942	14889	899
943	14897	883
944	14903	867
945	14913	851
946	14919	834
947	14926	818
948	14933	802
949	14940	786
950	14946	770
951	14951	753
952	14958	737
953	14964	721
954	14970	705
955	14977	689
956	14983	673
957	14988	657
958	14996	641
959	15001	625
960	15007	609
961	15016	593
962	15024	577
963	15032	561
964	15040	545
965	15047	529
966	15055	513
967	15062	497
968	15067	482
969	15073	466
970	15079	450
971	15088	434
972	15094	418
973	15101	403
974	15108	387
975	15113	371
976	15120	355
977	15125	340
978	15132	324
979	15139	308
980	15145	293
981	15150	277
982	15154	262
983	15158	246
984	15163	230
985	15167	215
986	15171	199
987	15175	184
988	15179	168
989	15183	153
990	15187	137
991	15191	122
992	15195	107
993	15200	91
994	15203	76
995	15207	61
996	15210	45
997	15213	30
998	15217	15
999	15220	0
